GYANCHAND PARAKH (GYANU),Dhamtari,Independent,655

AKASH DEWANGAN,Dhamtari,Independent,566

BHARATLAL SATNAMI,Dhamtari,Independent,537

DR. GEINDLAL SATNAMI,Dhamtari,Independent,478

DR. NEPALSINGH SAHU,Dhamtari,Independent,350

GOPAL JOSHI,Dhamtari,Independent,269

JANMEJAI MAHILANGE,Dhamtari,Rashtriya Jansabha Party,222

YOGENDRA KUMAR SAHU,Dhamtari,Pichhara Samaj Party United,221

None of the Above,Dhamtari,None of the Above,551

LALJEET SINGH RATHIA,Dharamjaigarh,Indian National Congress,95173

LEENAV BIRJU RATHIA,Dharamjaigarh,Bharatiya Janata Party,54838

SANTRAM RATHIA,Dharamjaigarh,Janta Congress Chhattisgarh (J),4574

HARI TIRKEY,Dharamjaigarh,Independent,2314

LAKHAN LAL BAIGA,Dharamjaigarh,Ambedkarite Party of India,1615

JAI SINGH SIDAR,Dharamjaigarh,Samajwadi Party,1563

ANUP KUMAR BARWA,Dharamjaigarh,Bahujan Mukti Party,1538

LINYUS TOPPO,Dharamjaigarh,Independent,1241

PREM SINGH RATHIA,Dharamjaigarh,Aam Aadmi Party,1174

None of the Above,Dharamjaigarh,None of the Above,5954

ANITA YOGENDRA SHARMA,Dharsiwa,Indian National Congress,78989

DEVJI BHAI PATEL,Dharsiwa,Bharatiya Janata Party,59589

PANNA LAL SAHU,Dharsiwa,Janta Congress Chhattisgarh (J),14968

SANJU YADAV,Dharsiwa,Independent,3343

SANGITA BAGHEL,Dharsiwa,Independent,2197

DR. OM PRAKASH SAHU,Dharsiwa,Samajwadi Party,632

TAMESHWAR SAHU,Dharsiwa,Independent,592

PURAN LAL BAGHEL,Dharsiwa,Independent,521

ANIL PURI GOSWAMI,Dharsiwa,Independent,390

DHANESH KUMAR MAIRISHA,Dharsiwa,Ambedkarite Party of India,383

SANTOSH DUBEY,Dharsiwa,Aam Aadmi Party,324

RAJESH KUMAR BANJARE,Dharsiwa,Rashtriya Jansabha Party,293

DASHRATH BIRJALE,Dharsiwa,Independent,280

TIKARAM SAHU,Dharsiwa,Independent,265

GULAB TANDON,Dharsiwa,Independent,236

GUNISH KUMAR VERMA (LATE CHHEDULAL VERMA),Dharsiwa,Independent,127

None of the Above,Dharsiwa,None of the Above,1361

ANILA BHENDIA,Dondi lohara,Indian National Congress,67448

LAL MAHENDRA SINGH TEKAM,Dondi lohara,Bharatiya Janata Party,34345

